ID,Price,Carat,Cut,Log_Price,Log_Carat
65,11209,2.13,Fair,9.32,0.76
66,6132,1.4,Very Good,8.72,0.34
67,11515,2.12,Very Good,9.35,0.75
68,11665,2.12,Fair,9.36,0.75
69,6875,2.09,Ideal,8.84,0.74
70,6048,1.38,Very Good,8.71,0.32
71,14279,2.01,Ideal,9.57,0.7
72,11359,1.76,Ideal,9.34,0.57
73,10238,1.92,Ideal,9.23,0.65
74,5674,0.5,Ideal,8.64,-0.69
75,10031,1.45,Very Good,9.21,0.37
76,5416,0.94,Very Good,8.6,-0.06
77,8171,1.26,Good,9.01,0.23
78,4319,1.73,Fair,8.37,0.55
79,6029,1.2,Good,8.7,0.18
80,3581,0.72,Good,8.18,-0.33
81,4349,0.99,Good,8.38,-0.01
82,7056,1.84,Fair,8.86,0.61
83,7787,1.34,Good,8.96,0.29
84,10955,2.08,Good,9.3,0.73
85,6740,0.71,Ideal,8.82,-0.34
86,3941,1.37,Good,8.28,0.31
87,8448,2.47,Fair,9.04,0.9
88,11306,2.29,Fair,9.33,0.83
89,7588,2.27,Ideal,8.93,0.82
90,4089,0.85,Good,8.32,-0.16
91,8192,0.76,Ideal,9.01,-0.27
92,9576,1.81,Fair,9.17,0.59
93,4625,1.19,Fair,8.44,0.17
94,8205,1.81,Fair,9.01,0.59
95,7762,1.14,Very Good,8.96,0.13
96,7047,0.88,Ideal,8.86,-0.13
97,11735,2.06,Ideal,9.37,0.72
98,4095,0.69,Very Good,8.32,-0.37
99,9245,1.43,Good,9.13,0.36
100,8204,1.52,Fair,9.01,0.42
101,10779,1.7,Ideal,9.29,0.53
102,9600,1.17,Very Good,9.17,0.16
103,8875,1.48,Fair,9.09,0.39
104,13583,2.41,Very Good,9.52,0.88
105,10200,1.47,Ideal,9.23,0.39
106,8919,2.28,Very Good,9.1,0.82
107,12529,2.33,Very Good,9.44,0.85
108,10066,1.72,Ideal,9.22,0.54
109,8169,1.32,Ideal,9.01,0.28
110,4070,0.79,Very Good,8.31,-0.24
111,11703,2.37,Fair,9.37,0.86
112,7535,1.1,Ideal,8.93,0.1
113,3078,0.62,Good,8.03,-0.48
114,13455,2.4,Good,9.51,0.88
115,13544,1.94,Good,9.51,0.66
116,3355,0.78,Fair,8.12,-0.25
117,7796,1.6,Good,8.96,0.47
118,12662,2.41,Ideal,9.45,0.88
119,7755,1.67,Good,8.96,0.51
120,7070,1.31,Very Good,8.86,0.27
121,8927,1.8,Fair,9.1,0.59
122,4692,1.14,Fair,8.45,0.13
123,9172,1.12,Very Good,9.12,0.11
124,6053,0.94,Good,8.71,-0.06
125,7816,1.24,Fair,8.96,0.22
126,16311,2.47,Fair,9.7,0.9
127,3834,0.81,Ideal,8.25,-0.21
128,3177,0.68,Very Good,8.06,-0.39
129,4218,0.78,Fair,8.35,-0.25
130,15250,1.88,Very Good,9.63,0.63
131,10384,1.74,Very Good,9.25,0.55
132,8926,2.28,Ideal,9.1,0.82
133,9847,1.85,Very Good,9.19,0.62
134,16386,1.97,Very Good,9.7,0.68
135,3995,1.54,Very Good,8.29,0.43
136,12048,1.82,Ideal,9.4,0.6
137,11475,2.14,Good,9.35,0.76
138,8311,2.07,Good,9.03,0.73
139,14938,2.46,Very Good,9.61,0.9
140,4245,1.38,Good,8.35,0.32
141,9669,1.12,Ideal,9.18,0.11
142,4585,1.32,Good,8.43,0.28
143,1419,0.52,Fair,7.26,-0.65
144,4850,0.87,Ideal,8.49,-0.14
145,11566,2.19,Fair,9.36,0.78
146,4961,0.96,Good,8.51,-0.04
147,5917,0.98,Very Good,8.69,-0.02
148,3922,0.65,Very Good,8.27,-0.43
149,4283,0.99,Good,8.36,-0.01
150,9693,1.96,Fair,9.18,0.67
151,12898,2.19,Ideal,9.46,0.78
152,12087,1.5,Very Good,9.4,0.41
153,7197,1.28,Very Good,8.88,0.25
154,6837,0.99,Ideal,8.83,-0.01
155,5901,0.72,Very Good,8.68,-0.33
156,6952,1.28,Good,8.85,0.25
157,3810,1.64,Fair,8.25,0.49
158,9779,0.93,Ideal,9.19,-0.07
159,7436,1.39,Very Good,8.91,0.33
160,5697,0.94,Fair,8.65,-0.06
161,7720,1.5,Good,8.95,0.41
162,7008,1.21,Fair,8.85,0.19
163,7248,1.8,Good,8.89,0.59
164,6021,1.25,Fair,8.7,0.22
165,6520,1.21,Fair,8.78,0.19
166,7218,1.57,Fair,8.88,0.45
167,9456,1.98,Very Good,9.15,0.68
168,4519,0.94,Good,8.42,-0.06
169,7363,1.33,Fair,8.9,0.29
170,6377,1.03,Ideal,8.76,0.03
171,9300,1.76,Good,9.14,0.57
172,2673,0.87,Good,7.89,-0.14
173,10097,2.23,Very Good,9.22,0.8
174,10648,1.99,Ideal,9.27,0.69
175,5832,1.84,Fair,8.67,0.61
176,10040,1.74,Very Good,9.21,0.55
177,8611,1.24,Very Good,9.06,0.22
178,8944,1.56,Good,9.1,0.44
179,14331,2.25,Fair,9.57,0.81
180,9245,1.66,Very Good,9.13,0.51
181,13730,2.18,Fair,9.53,0.78
182,5041,1.12,Fair,8.53,0.11
183,10440,1.92,Very Good,9.25,0.65
184,5658,1.03,Ideal,8.64,0.03
185,10633,1.69,Ideal,9.27,0.52
186,4492,1.46,Fair,8.41,0.38
187,4447,1.03,Good,8.4,0.03
188,9732,1.63,Ideal,9.18,0.49
189,11254,2.33,Very Good,9.33,0.85
190,13094,2.3,Very Good,9.48,0.83
191,5498,1.05,Fair,8.61,0.05
192,5768,1.14,Very Good,8.66,0.13
193,11941,2.47,Good,9.39,0.9
194,13685,1.74,Ideal,9.52,0.55
195,12601,2.37,Fair,9.44,0.86
196,9449,1.43,Fair,9.15,0.36
197,7075,1.31,Ideal,8.86,0.27
198,7311,1.82,Fair,8.9,0.6
199,8548,0.8,Ideal,9.05,-0.22
200,10318,1.65,Good,9.24,0.5
201,12195,0.98,Ideal,9.41,-0.02
202,12286,2.42,Ideal,9.42,0.88
203,8319,1.7,Good,9.03,0.53
204,8007,1.53,Very Good,8.99,0.43
205,8782,1.31,Good,9.08,0.27
206,12010,2.26,Ideal,9.39,0.82
207,7297,1.23,Fair,8.9,0.21
208,4777,1.08,Fair,8.47,0.08
209,3453,0.84,Ideal,8.15,-0.17
210,6570,0.84,Very Good,8.79,-0.17
211,8196,1.46,Good,9.01,0.38
212,8115,1.01,Ideal,9,0.01
213,4702,0.93,Good,8.46,-0.07
214,15092,1.85,Very Good,9.62,0.62
215,3627,0.6,Fair,8.2,-0.51
216,10451,1.9,Ideal,9.25,0.64
217,7961,1.2,Good,8.98,0.18
218,1899,1.32,Ideal,7.55,0.28
219,10542,2.14,Fair,9.26,0.76
220,18097,2.34,Ideal,9.8,0.85
221,5827,1.07,Good,8.67,0.07
222,16405,2.42,Very Good,9.71,0.88
223,9323,1.96,Fair,9.14,0.67
224,6950,1.87,Ideal,8.85,0.63
225,1323,0.61,Ideal,7.19,-0.49
226,6937,1.29,Fair,8.84,0.25
227,10774,1.46,Good,9.28,0.38
228,7189,1.62,Fair,8.88,0.48
229,11458,1.9,Ideal,9.35,0.64
230,9284,2.33,Very Good,9.14,0.85
231,6801,1.74,Fair,8.82,0.55
232,6388,1.36,Good,8.76,0.31
233,11066,1.58,Good,9.31,0.46
234,4778,0.62,Very Good,8.47,-0.48
235,6013,1.02,Fair,8.7,0.02
236,8367,1.29,Fair,9.03,0.25
237,4225,0.9,Fair,8.35,-0.11
238,14179,2.16,Very Good,9.56,0.77
239,7309,0.81,Ideal,8.9,-0.21
240,8496,2.11,Good,9.05,0.75
241,6600,1.59,Fair,8.79,0.46
242,9767,1.82,Good,9.19,0.6
243,6192,0.84,Very Good,8.73,-0.17
244,8669,1.77,Good,9.07,0.57
245,5043,1.12,Ideal,8.53,0.11
246,5820,1.95,Good,8.67,0.67
247,7536,1.3,Very Good,8.93,0.26
248,11537,2.44,Fair,9.35,0.89
249,13955,2.43,Fair,9.54,0.89
250,6558,1.95,Very Good,8.79,0.67
251,4672,1.01,Ideal,8.45,0.01
252,6306,0.94,Very Good,8.75,-0.06
253,7516,1.69,Very Good,8.92,0.52
254,2914,1.04,Fair,7.98,0.04
255,9356,1.56,Fair,9.14,0.44
256,17565,2.07,Ideal,9.77,0.73
257,3224,0.84,Fair,8.08,-0.17
258,6327,1.31,Fair,8.75,0.27
259,6076,1.44,Ideal,8.71,0.36
260,14314,2.24,Very Good,9.57,0.81
261,11765,2.35,Fair,9.37,0.85
262,13270,2.26,Very Good,9.49,0.82
263,7669,1.85,Fair,8.94,0.62
264,9100,2.4,Fair,9.12,0.88
265,11497,1.53,Very Good,9.35,0.43
266,9563,1.65,Fair,9.17,0.5
267,8419,1.17,Very Good,9.04,0.16
268,6845,1.19,Ideal,8.83,0.17
269,1735,0.54,Fair,7.46,-0.62
270,7657,1.51,Ideal,8.94,0.41
271,10870,2.24,Fair,9.29,0.81
272,5192,0.51,Very Good,8.55,-0.67
273,4626,0.64,Good,8.44,-0.45
274,2713,0.83,Very Good,7.91,-0.19
275,13269,2.04,Ideal,9.49,0.71
276,10219,1.97,Very Good,9.23,0.68
277,14364,2.44,Very Good,9.57,0.89
278,8659,1.43,Very Good,9.07,0.36
279,3963,0.65,Good,8.28,-0.43
280,9138,1.8,Good,9.12,0.59
281,8124,2.02,Fair,9,0.7
282,2709,0.77,Ideal,7.9,-0.26
283,4576,1.29,Very Good,8.43,0.25
284,12344,0.95,Ideal,9.42,-0.05
285,4070,0.62,Very Good,8.31,-0.48
286,7068,1.29,Good,8.86,0.25
287,4074,0.63,Very Good,8.31,-0.46
288,6658,0.95,Very Good,8.8,-0.05
289,4286,0.61,Good,8.36,-0.49
290,14912,1.84,Very Good,9.61,0.61
291,4652,1.1,Ideal,8.45,0.1
292,6999,0.7,Very Good,8.85,-0.36
293,4642,0.64,Fair,8.44,-0.45
294,13768,2.26,Ideal,9.53,0.82
295,11829,2.01,Good,9.38,0.7
296,11703,2.13,Good,9.37,0.76
297,17549,2.46,Ideal,9.77,0.9
298,5411,0.71,Very Good,8.6,-0.34
299,3182,0.7,Ideal,8.07,-0.36
300,13116,2.1,Very Good,9.48,0.74
301,11008,2.07,Fair,9.31,0.73
302,3373,0.52,Good,8.12,-0.65
303,12155,2.06,Very Good,9.41,0.72
304,12596,1.96,Ideal,9.44,0.67
305,8839,1.76,Very Good,9.09,0.57
306,12726,1.46,Very Good,9.45,0.38
307,6359,0.81,Fair,8.76,-0.21
308,3741,0.52,Fair,8.23,-0.65
309,6387,1.4,Very Good,8.76,0.34
310,4321,1.48,Fair,8.37,0.39
311,6594,1.28,Fair,8.79,0.25
312,9254,1.43,Good,9.13,0.36
313,11482,1.93,Ideal,9.35,0.66
314,2256,0.61,Fair,7.72,-0.49
315,5510,1.21,Very Good,8.61,0.19
316,11002,2.11,Fair,9.31,0.75
317,14992,2.17,Ideal,9.62,0.77
318,6411,0.98,Good,8.77,-0.02
319,6143,1.21,Very Good,8.72,0.19
320,8556,2.21,Fair,9.05,0.79
321,8139,2.21,Ideal,9,0.79
322,3405,1.09,Good,8.13,0.09
323,8548,0.79,Ideal,9.05,-0.24
324,12228,1.91,Good,9.41,0.65
325,3201,0.71,Ideal,8.07,-0.34
326,2775,0.57,Good,7.93,-0.56
327,18104,2.5,Good,9.8,0.92
328,3042,0.57,Good,8.02,-0.56
329,8534,1.18,Fair,9.05,0.17
330,14579,2.33,Very Good,9.59,0.85
331,13078,1.73,Very Good,9.48,0.55
332,6271,1.07,Good,8.74,0.07
333,8967,1.98,Very Good,9.1,0.68
334,10016,2.17,Very Good,9.21,0.77
335,5898,1.13,Good,8.68,0.12
336,7590,1.49,Fair,8.93,0.4
337,12884,1.89,Very Good,9.46,0.64
338,9358,1.78,Very Good,9.14,0.58
339,12885,1.79,Ideal,9.46,0.58
340,15855,2.46,Very Good,9.67,0.9
341,6440,1.33,Good,8.77,0.29
342,4001,0.74,Good,8.29,-0.3
343,5788,1.55,Good,8.66,0.44
344,5850,0.95,Fair,8.67,-0.05
345,7942,1.47,Very Good,8.98,0.39
346,8206,1.24,Ideal,9.01,0.22
347,10798,2.47,Good,9.29,0.9
348,7035,1.28,Very Good,8.86,0.25
349,5070,0.96,Very Good,8.53,-0.04
350,9166,1.75,Very Good,9.12,0.56
351,2288,0.77,Fair,7.74,-0.26
352,15247,2.43,Fair,9.63,0.89
353,7959,1.53,Fair,8.98,0.43
354,3260,0.83,Fair,8.09,-0.19
355,11296,1.74,Fair,9.33,0.55
356,14800,2.47,Good,9.6,0.9
357,10993,1.84,Fair,9.31,0.61
358,10100,1.34,Ideal,9.22,0.29
359,5315,1.15,Fair,8.58,0.14
360,11177,2.17,Good,9.32,0.77
361,5015,0.79,Very Good,8.52,-0.24
362,5500,0.89,Fair,8.61,-0.12
363,20022,2.29,Ideal,9.9,0.83
364,5545,1.12,Good,8.62,0.11
365,4708,1.23,Fair,8.46,0.21
366,11433,2.07,Good,9.34,0.73
367,7838,0.89,Fair,8.97,-0.12
368,3499,0.54,Very Good,8.16,-0.62
369,8518,1.31,Fair,9.05,0.27
370,7042,1.47,Fair,8.86,0.39
371,6631,1.34,Good,8.8,0.29
372,5088,1.19,Fair,8.53,0.17
373,11143,2.23,Good,9.32,0.8
374,12540,1.41,Very Good,9.44,0.34
375,9719,1.57,Very Good,9.18,0.45
376,15041,2.43,Ideal,9.62,0.89
377,13109,2.05,Good,9.48,0.72
378,8085,0.92,Ideal,9,-0.08
379,6820,1.12,Fair,8.83,0.11
380,7397,2.44,Very Good,8.91,0.89
381,7109,1.67,Good,8.87,0.51
382,6680,2.02,Good,8.81,0.7
383,6394,1.25,Ideal,8.76,0.22
384,13365,2.04,Fair,9.5,0.71
385,9311,1.58,Ideal,9.14,0.46
386,12887,2.33,Fair,9.46,0.85
387,5694,0.87,Fair,8.65,-0.14
388,6214,1.06,Ideal,8.73,0.06
389,3499,0.69,Fair,8.16,-0.37
390,5111,0.92,Fair,8.54,-0.08
391,13159,2.45,Ideal,9.48,0.9
392,5071,1.09,Very Good,8.53,0.09
393,12416,1.95,Good,9.43,0.67
394,12491,2.07,Good,9.43,0.73
395,3769,0.71,Good,8.23,-0.34
396,4866,0.98,Ideal,8.49,-0.02
397,7963,1.04,Very Good,8.98,0.04
398,5456,0.7,Good,8.6,-0.36
399,5134,0.74,Fair,8.54,-0.3
400,15071,2.48,Fair,9.62,0.91
401,10990,2.47,Fair,9.3,0.9
402,3500,0.77,Fair,8.16,-0.26
403,10006,2.31,Fair,9.21,0.84
404,8129,1.65,Good,9,0.5
405,7693,1.29,Fair,8.95,0.25
406,10869,1.4,Ideal,9.29,0.34
407,6287,1.91,Very Good,8.75,0.65
408,4060,0.67,Ideal,8.31,-0.4
409,5963,1.18,Fair,8.69,0.17
410,14171,1.86,Ideal,9.56,0.62
411,3390,1.13,Very Good,8.13,0.12
412,9909,2.16,Ideal,9.2,0.77
413,4821,0.93,Very Good,8.48,-0.07
414,10346,1.5,Fair,9.24,0.41
415,2938,1.05,Fair,7.99,0.05
416,3469,0.88,Very Good,8.15,-0.13
417,10576,2.4,Very Good,9.27,0.88
418,6598,1.14,Good,8.79,0.13
419,15078,1.46,Ideal,9.62,0.38
420,3432,0.56,Good,8.14,-0.58
421,3709,1.59,Ideal,8.22,0.46
422,10912,1.79,Very Good,9.3,0.58
423,7985,1.69,Good,8.99,0.52
424,6975,1.14,Ideal,8.85,0.13
425,16480,2.28,Good,9.71,0.82
426,7556,1.75,Fair,8.93,0.56
427,6162,1.11,Good,8.73,0.1
428,8837,1.28,Ideal,9.09,0.25
429,3875,0.82,Ideal,8.26,-0.2
430,13569,2.23,Good,9.52,0.8
431,16276,2.41,Ideal,9.7,0.88
432,14375,1.63,Good,9.57,0.49
433,9889,1.16,Ideal,9.2,0.15
434,12506,2.49,Ideal,9.43,0.91
435,5345,0.97,Good,8.58,-0.03
436,13128,1.73,Good,9.48,0.55
437,5544,0.72,Very Good,8.62,-0.33
438,10301,1.47,Ideal,9.24,0.39
439,5336,0.7,Very Good,8.58,-0.36
440,3015,0.82,Very Good,8.01,-0.2
441,4486,1.07,Fair,8.41,0.07
442,10892,1.67,Very Good,9.3,0.51
443,9461,1.96,Fair,9.15,0.67
444,4049,0.83,Good,8.31,-0.19
445,14514,2.23,Very Good,9.58,0.8
446,14990,1.92,Ideal,9.62,0.65
447,8542,2.02,Fair,9.05,0.7
448,4273,0.79,Good,8.36,-0.24
449,7067,1.22,Very Good,8.86,0.2
450,9801,1.85,Good,9.19,0.62
451,9231,1.55,Very Good,9.13,0.44
452,9992,1.2,Very Good,9.21,0.18
453,5812,0.98,Very Good,8.67,-0.02
454,3079,0.62,Fair,8.03,-0.48
455,6516,0.97,Very Good,8.78,-0.03
456,9508,2.28,Ideal,9.16,0.82
457,12418,2.12,Fair,9.43,0.75
458,8271,2,Very Good,9.02,0.69
459,6950,0.81,Ideal,8.85,-0.21
460,2513,0.75,Fair,7.83,-0.29
461,13398,2.45,Ideal,9.5,0.9
462,9768,1.37,Very Good,9.19,0.31
463,4093,1.43,Ideal,8.32,0.36
464,3972,0.83,Fair,8.29,-0.19
465,9289,1.67,Fair,9.14,0.51
466,8757,1.04,Ideal,9.08,0.04
467,6888,0.96,Ideal,8.84,-0.04
468,11633,1.88,Fair,9.36,0.63
469,7043,1.07,Good,8.86,0.07
470,10245,2.12,Good,9.23,0.75
471,4251,0.69,Very Good,8.35,-0.37
472,10171,2.14,Fair,9.23,0.76
473,9908,1.35,Very Good,9.2,0.3
474,10692,2.01,Good,9.28,0.7
475,5965,1.82,Good,8.69,0.6
476,7629,1.39,Very Good,8.94,0.33
477,10147,1.75,Good,9.22,0.56
478,4824,0.5,Ideal,8.48,-0.69
479,3607,0.93,Ideal,8.19,-0.07
480,13040,1.91,Ideal,9.48,0.65
481,6286,0.93,Ideal,8.75,-0.07
482,9624,2.13,Fair,9.17,0.76
483,10950,1.12,Ideal,9.3,0.11
484,9424,1.88,Ideal,9.15,0.63
485,12555,2.37,Ideal,9.44,0.86
486,5620,0.73,Fair,8.63,-0.31
487,4752,0.76,Very Good,8.47,-0.27
488,9416,1.86,Good,9.15,0.62
489,9650,1.36,Very Good,9.17,0.31
490,4914,2.17,Ideal,8.5,0.77
491,18607,2.44,Fair,9.83,0.89
492,3515,0.64,Fair,8.16,-0.45
493,8157,1.42,Ideal,9.01,0.35
494,17551,1.9,Ideal,9.77,0.64
495,2935,0.67,Good,7.98,-0.4
496,18266,2.49,Ideal,9.81,0.91
497,10793,1.01,Ideal,9.29,0.01
498,3007,0.6,Fair,8.01,-0.51
499,14077,1.87,Very Good,9.55,0.63
500,12870,2.07,Good,9.46,0.73
501,4183,1.21,Ideal,8.34,0.19
502,6227,1.23,Ideal,8.74,0.21
503,4895,1.07,Good,8.5,0.07
504,3112,0.66,Fair,8.04,-0.42
505,9553,1.23,Very Good,9.16,0.21
506,6823,0.86,Very Good,8.83,-0.15
507,10749,1.57,Very Good,9.28,0.45
508,9969,1.51,Good,9.21,0.41
509,9057,2.39,Good,9.11,0.87
510,6930,1.18,Very Good,8.84,0.17
511,11299,1.43,Good,9.33,0.36
512,4305,0.67,Ideal,8.37,-0.4
513,11138,2.22,Ideal,9.32,0.8
514,5937,1.29,Fair,8.69,0.25
515,11281,1.97,Good,9.33,0.68
516,4435,0.84,Good,8.4,-0.17
517,7711,1.41,Fair,8.95,0.34
518,9277,2.04,Good,9.14,0.71
519,4418,0.63,Good,8.39,-0.46
520,12528,2.13,Fair,9.44,0.76
521,9224,1.1,Very Good,9.13,0.1
522,9237,1.23,Fair,9.13,0.21
523,6598,1.12,Very Good,8.79,0.11
524,4503,0.57,Good,8.41,-0.56
525,7025,1.54,Very Good,8.86,0.43
526,8488,1.86,Fair,9.05,0.62
527,14382,2.31,Fair,9.57,0.84
528,2711,0.55,Good,7.91,-0.6
529,13940,2.48,Very Good,9.54,0.91
530,4526,1.11,Fair,8.42,0.1
531,14782,2.38,Ideal,9.6,0.87
532,8094,1.88,Very Good,9,0.63
533,8151,1.39,Ideal,9.01,0.33
534,6066,2.13,Good,8.71,0.76
535,4066,0.58,Good,8.31,-0.54
536,11653,1.98,Good,9.36,0.68
537,6774,1.2,Good,8.82,0.18
538,9716,2.16,Fair,9.18,0.77
539,15844,1.57,Ideal,9.67,0.45
540,7300,1.05,Good,8.9,0.05
541,4708,2.1,Fair,8.46,0.74
542,8691,0.68,Ideal,9.07,-0.39
543,6789,2.16,Good,8.82,0.77
544,7783,1.05,Very Good,8.96,0.05
545,7975,2.01,Very Good,8.98,0.7
546,11070,2.43,Good,9.31,0.89
547,4485,0.66,Fair,8.41,-0.42
548,13308,2.21,Good,9.5,0.79
549,15074,2.1,Very Good,9.62,0.74
550,7304,1.27,Ideal,8.9,0.24
551,10742,1.16,Ideal,9.28,0.15
552,5436,0.91,Fair,8.6,-0.09
553,10399,1.64,Good,9.25,0.49
554,9306,2.28,Good,9.14,0.82
555,10053,1.56,Good,9.22,0.44
556,6256,1.67,Good,8.74,0.51
557,13728,1.83,Very Good,9.53,0.6
558,6685,1.56,Good,8.81,0.44
559,9454,1.52,Good,9.15,0.42
560,1980,0.53,Ideal,7.59,-0.63
561,10579,0.6,Ideal,9.27,-0.51
562,15644,2.36,Good,9.66,0.86
563,13444,2.04,Ideal,9.51,0.71
564,5541,0.9,Fair,8.62,-0.11
565,11145,1.8,Very Good,9.32,0.59
566,11069,1.81,Fair,9.31,0.59
567,6628,1.29,Fair,8.8,0.25
568,16174,2.12,Ideal,9.69,0.75
569,7404,1.59,Fair,8.91,0.46
570,11147,2.27,Ideal,9.32,0.82
571,9329,1.61,Good,9.14,0.48
572,14094,2.31,Fair,9.55,0.84
573,11816,1.67,Ideal,9.38,0.51
574,7674,1.35,Good,8.95,0.3
575,10437,2.4,Fair,9.25,0.88
576,11636,1.92,Very Good,9.36,0.65
577,5722,1.33,Fair,8.65,0.29
578,4331,0.54,Good,8.37,-0.62
579,10378,1.63,Good,9.25,0.49
580,8325,1.48,Good,9.03,0.39
581,17088,2.26,Very Good,9.75,0.82
582,10583,2.13,Fair,9.27,0.76
583,12728,2.21,Fair,9.45,0.79
584,7178,1.24,Fair,8.88,0.22
585,9633,2.25,Ideal,9.17,0.81
586,3709,0.8,Very Good,8.22,-0.22
587,4413,1.06,Very Good,8.39,0.06
588,6298,1.83,Good,8.75,0.6
589,11903,2.45,Good,9.38,0.9
590,10381,1.67,Good,9.25,0.51
591,12602,1.55,Ideal,9.44,0.44
592,2150,0.62,Ideal,7.67,-0.48
593,17480,2.44,Very Good,9.77,0.89
594,5366,0.74,Very Good,8.59,-0.3
595,5704,0.68,Good,8.65,-0.39
596,14728,2.26,Fair,9.6,0.82
597,5570,1.52,Very Good,8.63,0.42
598,5403,1.17,Fair,8.59,0.16
599,9342,2.29,Very Good,9.14,0.83
600,4127,0.56,Good,8.33,-0.58
601,9194,0.97,Very Good,9.13,-0.03
602,7493,1.87,Fair,8.92,0.63
603,4030,0.95,Good,8.3,-0.05
604,10261,1.14,Ideal,9.24,0.13
605,1444,0.85,Ideal,7.28,-0.16
606,15521,2.1,Fair,9.65,0.74
607,3311,0.79,Ideal,8.11,-0.24
608,6498,2.15,Fair,8.78,0.77
609,8391,1.16,Very Good,9.03,0.15
610,7025,1.25,Good,8.86,0.22
611,3920,1.76,Very Good,8.27,0.57
612,3147,0.69,Very Good,8.05,-0.37
613,2599,0.54,Good,7.86,-0.62
614,10006,2.49,Ideal,9.21,0.91
615,7525,1.67,Ideal,8.93,0.51
616,12830,2.06,Good,9.46,0.72
617,18926,2.28,Very Good,9.85,0.82
618,4568,2.01,Good,8.43,0.7
619,15172,2.46,Good,9.63,0.9
620,2443,0.59,Fair,7.8,-0.53
621,14951,2.31,Fair,9.61,0.84
622,12251,2.23,Fair,9.41,0.8
623,13944,2.05,Fair,9.54,0.72
624,8426,1.25,Ideal,9.04,0.22
625,4053,0.58,Good,8.31,-0.54
626,12049,1.23,Ideal,9.4,0.21
627,7931,1.05,Very Good,8.98,0.05
628,10483,2.2,Fair,9.26,0.79
629,8170,1.22,Very Good,9.01,0.2
630,6538,1.11,Ideal,8.79,0.1
631,8823,2.02,Ideal,9.09,0.7
632,10962,2.19,Very Good,9.3,0.78
633,5495,1.42,Good,8.61,0.35
634,9190,1.96,Very Good,9.13,0.67
635,5092,0.71,Ideal,8.54,-0.34
636,6366,0.94,Ideal,8.76,-0.06
637,15447,2.41,Fair,9.65,0.88
638,9693,2,Good,9.18,0.69
639,11711,2.14,Fair,9.37,0.76
640,9454,1.34,Ideal,9.15,0.29
641,6018,1.69,Fair,8.7,0.52
642,16627,2.1,Ideal,9.72,0.74
643,11494,2.28,Ideal,9.35,0.82
644,9676,1.27,Ideal,9.18,0.24
645,4843,0.68,Good,8.49,-0.39
646,10767,1.75,Ideal,9.28,0.56
647,12733,1.99,Ideal,9.45,0.69
648,5061,0.67,Ideal,8.53,-0.4
649,6217,1.1,Good,8.74,0.1
650,9877,1.73,Fair,9.2,0.55
