Week,sales,satisfaction,advertising,ease_of_purchase,searchoutcome,wom,safety,reputation
91,1040.9,5.4,254.0,4.5,3.6,4.3,3.9,7.0
92,1058.6,6.6,288.9,3.3,4.1,4.8,4.0,4.7
93,1187.9,5.9,324.7,4.8,4.6,4.3,3.0,5.9
94,1041.2,5.4,278.6,4.6,5.8,3.1,2.9,6.7
95,1074.7,3.5,279.9,3.9,4.9,4.2,4.6,8.1
96,1009.5,5.0,287.5,2.4,5.2,4.4,4.5,5.7
97,892.1,4.9,288.0,3.4,4.7,2.4,3.6,4.3
98,1021.1,4.3,275.5,3.9,5.7,2.9,3.2,7.7
99,813.8,3.7,299.1,2.5,6.6,3.1,2.9,3.3
100,1008.5,5.5,262.1,4.0,4.2,2.8,2.3,7.2
101,1008.9,5.1,280.6,5.4,5.5,3.2,3.4,5.5
102,1166.3,5.4,330.5,2.3,4.4,4.0,3.5,6.5
103,946.3,5.0,293.7,2.9,5.8,4.1,3.6,4.1
104,1056.2,3.5,310.9,2.0,5.4,5.0,2.7,6.7
105,973.2,3.2,305.3,3.6,6.4,3.1,1.6,6.3
106,1163.1,4.1,304.6,5.2,3.7,5.9,3.7,6.4
107,1015.4,5.0,312.9,2.8,6.0,4.9,2.2,4.3
108,852.0,3.7,284.4,4.1,5.4,2.2,3.3,4.3
109,986.8,5.3,270.7,3.1,6.3,3.8,3.4,5.9
110,985.8,4.4,306.0,3.8,5.6,2.4,4.3,5.0
