Sales,TV,Radio,Newspaper,OwnPrice,CompPrice,Satisfaction
13.4,139.3,14.5,10.2,17.31,23.1,2
18.9,237.4,27.5,11,16.03,25.7,3.8
22.3,216.8,43.9,27.2,14.86,25.77,3.8
18.3,199.1,30.6,38.7,14.07,26.48,3.5
12.4,109.8,14.3,31.7,15.36,22.8,3
8.8,26.8,33,19.3,15.54,21.72,3
11,129.4,5.7,31.3,15.43,23.33,3.8
17,213.4,24.6,13.1,15.13,24.18,1.9
8.7,16.9,43.7,89.4,15.54,22.64,3
6.9,27.5,1.6,20.7,17.63,21.15,1.9
14.2,120.5,28.5,14.2,17.27,23.34,2
5.3,5.4,29.9,9.4,17.71,20.67,3
11,116,7.7,23.1,16.43,25.24,1.7
11.8,76.4,26.7,22.3,15.39,25.48,2.8
17.3,239.8,4.1,36.9,14.12,25.22,3.8
11.3,75.3,20.3,32.5,16.41,24.38,2.2
13.6,68.4,44.5,35.6,17.3,25.07,3.6
21.7,213.5,43,33.8,14.89,26.54,2.2
20.2,193.2,18.4,65.7,13.97,27.05,2.2
12,76.3,27.5,16,15.38,25.54,2.2
16,110.7,40.6,63.2,15.18,23.88,1.7
12.9,88.3,25.5,73.4,17.33,24.86,2.5
16.7,109.8,47.8,51.4,14.15,26,3.6
14,134.3,4.9,9.3,15.28,23.28,1.9
7.3,28.6,1.5,33,14.62,21.27,1.7
19.4,217.7,33.5,59,14.01,25.85,3
22.2,250.9,36.5,72.3,14.87,28.6,1.7
11.5,107.4,14,10.9,16.4,22.53,1.6
16.9,163.3,31.6,52.9,17.13,26.06,2.2
16.7,197.6,3.5,5.9,14.15,24.09,2.5
20.5,184.9,21,22,13.96,28.09,2.7
25.4,289.7,42.3,51.2,13.71,26.7,2.8
17.2,135.2,41.7,45.9,16.12,25.19,3.8
16.7,222.4,4.3,49.8,17.14,24.09,2
23.8,296.4,36.3,100.9,16.79,28.13,3
19.8,280.2,10.1,21.4,15.99,27.88,2.8
19.7,187.9,17.2,17.9,14,27.85,2.2
20.7,238.2,34.3,5.3,14.94,27.2,3
15,137.9,46.4,59,17.23,24.53,2
7.2,25,11,29.7,14.62,22.19,3.2
12,90.4,0.3,23.2,15.38,24.59,1.6
5.3,13.1,0.4,25.6,16.71,20.67,3.3
19.8,255.4,26.9,5.5,16.99,25.97,3.6
18.4,225.8,8.2,56.5,17.06,25.55,3.6
21.8,241.7,38,23.2,13.89,28.48,1.6
17.1,175.7,15.4,2.4,17.12,27.07,2.5
20.9,209.6,20.6,10.7,13.94,26.3,1.7
14.6,78.2,46.8,34.5,16.25,24.41,3
12.6,75.1,35,52.7,15.35,22.86,3.8
12.2,139.2,14.3,25.6,17.37,25.6,1.6
9.4,76.4,0.8,14.8,16.51,21.9,3.3
15.9,125.7,36.9,79.2,15.18,24.8,3.6
6.6,19.4,16,22.3,14.65,22.97,3.8
15.5,141.3,26.8,46.2,14.21,26.59,2.5
7,18.8,21.7,50.4,14.63,23.09,2
16.6,224,2.4,15.6,14.15,26.92,3
15.2,123.1,34.6,12.4,15.22,25.55,3.3
19.7,229.5,32.3,74.2,14.99,27.85,1.7
10.6,87.2,11.8,25.9,16.45,24.17,3.3
6.6,7.8,38.9,50.6,15.65,22.01,2.2
11.9,80.2,0,9.2,14.39,25.51,2.5
24.7,220.3,49,3.2,16.74,28.4,2.2
9.7,59.6,12,43.1,14.5,24.85,2.2
1.6,0.7,39.6,8.7,15.9,22.42,2.5
17.7,265.2,2.9,43,15.09,25.34,3.6
5.7,8.4,27.2,2.1,14.7,23.65,1.7
19.6,219.8,33.5,45.1,17,26.87,2.5
10.8,36.9,38.6,65.6,15.44,24.23,3.6
11.6,48.3,47,8.5,14.4,25.42,2.2
9.5,25.6,39,9.3,14.51,23.84,2.7
20.8,273.7,28.9,59.7,14.94,28.18,2.4
9.6,43,25.9,20.5,14.5,24.82,2.4
20.7,184.9,43.9,1.7,14.94,27.2,2.2
10.9,73.4,17,12.9,17.43,23.3,1.7
19.2,193.7,35.4,75.6,17.02,27.7,2.5
20.1,220.5,33.2,37.9,14.97,25.11,2.2
10.4,104.6,5.7,34.4,15.46,23.15,2.5
12.3,96.2,14.8,38.9,17.36,25.63,3
10.3,140.3,1.9,9,17.46,23.12,2.4
18.2,240.1,7.3,8.7,16.07,26.45,3
25.4,243.2,49,44.3,13.71,28.61,2.7
10.9,38,40.3,11.9,16.43,25.21,2.8
10.1,44.7,25.8,20.6,16.47,24.97,3.3
16.1,280.7,13.9,37,15.17,23.91,3.5
11.6,121,8.4,48.7,14.4,24.47,2.8
16.6,197.6,23.3,14.2,15.15,25.01,2.4
16,171.3,39.7,37.7,14.18,23.88,2
20.6,187.8,21.1,9.5,15.95,25.26,3.8
3.2,4.1,11.6,5.7,17.82,20.04,3
15.3,93.9,43.5,50.5,14.22,26.53,2.5
10.1,149.8,1.3,24.3,16.47,24.97,2.2
7.3,11.7,36.9,45.2,14.62,21.27,3
12.9,131.7,18.4,34.6,16.33,25.81,1.7
16.4,172.5,18.1,30.7,17.16,25.91,2.8
13.3,85.7,35.8,49.3,14.32,24.98,3.2
19.9,188.4,18.1,25.6,15.98,25.05,1.9
18,163.5,36.8,7.4,16.08,27.34,3.3
11.9,117.2,14.7,5.4,16.38,23.6,3
16.9,234.5,3.4,84.8,14.14,24.15,3.3
8,17.9,37.6,21.6,14.58,23.39,1.7
17.2,206.8,5.2,19.4,17.12,25.19,2.8
17.1,215.4,23.6,57.6,16.12,26.12,2.7
20,284.3,10.6,6.4,16.98,26.99,2.8
8.4,50,11.6,18.4,16.56,22.55,2.2
17.5,164.5,20.9,47.4,14.11,27.19,2.4
7.6,19.6,20.1,17,14.6,22.31,2.7
16.7,168.4,7.1,12.8,14.15,26,2.5
16.5,222.4,3.4,13.1,15.15,26.89,2.2
27,276.9,48.9,41.8,13.63,29.09,2.7
20.2,248.4,30.2,20.3,16.97,26.09,3
16.7,170.2,7.8,35.2,14.15,24.09,3.6
16.8,276.7,2.3,23.7,16.14,26.98,1.6
17.6,165.6,10,17.6,14.1,24.36,3.8
15.5,156.6,2.6,8.3,17.2,26.59,2.4
17.2,218.5,5.4,27.4,15.12,25.19,3.8
8.7,56.2,5.7,29.7,17.54,22.64,3.8
26.2,287.6,43,71.8,16.67,27.89,3
17.6,253.8,21.3,30,16.1,25.31,2.2
22.6,205,45.1,19.6,16.85,27.77,2.5
10.3,139.5,2.1,26.6,17.46,22.17,2.8
17.3,191.1,28.7,18.2,14.12,25.22,1.7
20.9,286,13.9,3.7,14.93,25.35,2.2
6.7,18.7,12.1,23.4,17.64,21.09,3
10.8,39.5,41.1,5.8,15.44,25.18,1.7
11.9,75.5,10.8,6,15.38,24.56,1.6
5.9,17.2,4.1,31.6,15.68,23.71,2.5
19.6,166.8,42,3.6,15,26.87,1.6
17.3,149.7,35.6,6,17.11,27.13,2.2
7.6,38.2,3.7,13.8,15.6,22.31,3
14,94.2,4.9,8.1,16.28,23.28,1.9
14.8,177,9.3,6.4,16.24,25.43,2.5
25.5,283.6,42,66.2,13.71,27.68,3.3
18.4,232.1,8.6,8.7,16.06,25.55,2.5
